Product_ID,Region,Category,Base_Cost,Brand_Strength_Score,Price_Tier,Max Allowed Mark up%,Recommended_selling_price,Mark up % Used,Warning,Target_revenue,Target_margin
10039,UK,Personal Care,0.79,7,Standard,30,1.027,30.0,OK,520000,0.32
10040,Germany,Food & Refreshment,9.01,2,Value,12,10.0912,12.00000000000001,OK,460000,0.31
10041,Germany,Home Care,7.1,2,Value,10,7.81,10.00000000000001,OK,460000,0.31
10042,Germany,Personal Care,8.01,2,Value,15,9.2115,14.99999999999999,OK,460000,0.31
10043,France,Home Care,0.61,2,Value,10,0.671,10.00000000000001,OK,430000,0.29
10044,Spain,Food & Refreshment,6.63,9,Premium,55,10.2765,55.00000000000001,OK,410000,0.3
10045,Spain,Food & Refreshment,10.91,5,Standard,28,13.9648,28.0,OK,410000,0.3
10046,Spain,Food & Refreshment,6.92,8,Premium,55,10.726,55.00000000000001,OK,410000,0.3
10047,Spain,Home Care,11.12,5,Standard,25,13.9,25.0,OK,410000,0.3
10048,Germany,Home Care,3.88,5,Standard,25,4.85,25.0,OK,460000,0.31
10049,France,Personal Care,12.29,1,Value,15,14.1335,14.99999999999999,OK,430000,0.29
10050,France,Food & Refreshment,9.03,6,Standard,28,11.5584,28.0,OK,430000,0.29
10051,Germany,Home Care,3.56,4,Standard,25,4.45,25.0,OK,460000,0.31
10052,France,Food & Refreshment,3.93,3,Value,12,4.4016,12.00000000000001,OK,430000,0.29
10053,Germany,Food & Refreshment,9.61,6,Standard,28,12.3008,28.0,OK,460000,0.31
10054,Spain,Personal Care,12.53,2,Value,15,14.4095,14.99999999999999,OK,410000,0.3
10055,Germany,Personal Care,6.53,8,Premium,60,10.448,60.00000000000001,OK,460000,0.31
10056,Spain,Personal Care,4.25,1,Value,15,4.887499999999999,14.99999999999999,OK,410000,0.3
10057,Spain,Personal Care,13.07,9,Premium,60,20.912,60.00000000000001,OK,410000,0.3
10058,UK,Food & Refreshment,10.2,8,Premium,55,15.81,55.00000000000001,OK,520000,0.32
10059,Germany,Personal Care,7.0,1,Value,15,8.049999999999999,14.99999999999999,OK,460000,0.31
10060,UK,Personal Care,7.57,10,Premium,60,12.112,60.00000000000001,OK,520000,0.32
10061,Germany,Personal Care,3.46,9,Premium,60,5.536,60.00000000000001,OK,460000,0.31
10062,Germany,Personal Care,9.59,2,Value,15,11.0285,14.99999999999999,OK,460000,0.31
10063,UK,Food & Refreshment,5.7,3,Value,12,6.384000000000001,12.00000000000001,OK,520000,0.32
10064,UK,Personal Care,14.94,2,Value,15,17.181,14.99999999999999,OK,520000,0.32
10065,Germany,Food & Refreshment,7.46,8,Premium,55,11.563,55.00000000000001,OK,460000,0.31
10066,France,Home Care,7.55,2,Value,10,8.305,10.00000000000001,OK,430000,0.29
10067,Spain,Food & Refreshment,8.7,10,Premium,55,13.485,55.00000000000001,OK,410000,0.3
10068,UK,Food & Refreshment,13.79,2,Value,12,15.4448,12.00000000000001,OK,520000,0.32
10069,Spain,Personal Care,12.11,1,Value,15,13.9265,14.99999999999999,OK,410000,0.3
10070,France,Home Care,7.04,7,Standard,25,8.8,25.0,OK,430000,0.29
10071,France,Home Care,10.92,2,Value,10,12.012,10.00000000000001,OK,430000,0.29
10072,France,Home Care,9.0,10,Premium,50,13.5,50.0,OK,430000,0.29
10073,UK,Home Care,7.64,5,Standard,25,9.549999999999999,25.0,OK,520000,0.32
10074,France,Food & Refreshment,3.29,5,Standard,28,4.2112,28.0,OK,430000,0.29
10075,UK,Home Care,7.23,3,Value,10,7.953000000000001,10.00000000000001,OK,520000,0.32
10076,France,Food & Refreshment,4.06,3,Value,12,4.5472,12.00000000000001,OK,430000,0.29
10077,Spain,Food & Refreshment,13.77,3,Value,12,15.4224,12.00000000000001,OK,410000,0.3
10078,Spain,Food & Refreshment,5.36,6,Standard,28,6.8608,28.0,OK,410000,0.3
10079,Germany,Home Care,14.31,4,Standard,25,17.8875,25.0,OK,460000,0.31
10080,Spain,Personal Care,8.23,3,Value,15,9.4645,14.99999999999999,OK,410000,0.3
10081,Germany,Personal Care,9.66,2,Value,15,11.109,14.99999999999999,OK,460000,0.31
10082,Spain,Home Care,8.37,3,Value,10,9.207,10.00000000000001,OK,410000,0.3
10083,UK,Personal Care,2.38,4,Standard,30,3.094,30.0,OK,520000,0.32
10084,Spain,Personal Care,5.95,6,Standard,30,7.735,30.0,OK,410000,0.3
10085,Germany,Food & Refreshment,1.94,4,Standard,28,2.4832,28.0,OK,460000,0.31
10086,Germany,Food & Refreshment,9.53,8,Premium,55,14.7715,55.00000000000001,OK,460000,0.31
10087,France,Home Care,6.98,3,Value,10,7.678000000000001,10.00000000000001,OK,430000,0.29
10088,UK,Home Care,11.78,3,Value,10,12.958,10.00000000000001,OK,520000,0.32
10089,Spain,Personal Care,3.7,3,Value,15,4.255,14.99999999999999,OK,410000,0.3
10090,France,Food & Refreshment,2.89,8,Premium,55,4.479500000000001,55.00000000000003,OK,430000,0.29
10091,Spain,Home Care,6.39,4,Standard,25,7.9875,25.0,OK,410000,0.3
10092,Spain,Home Care,13.94,1,Value,10,15.334,10.00000000000001,OK,410000,0.3
10093,France,Home Care,10.8,2,Value,10,11.88,10.00000000000001,OK,430000,0.29
10094,France,Home Care,6.57,10,Premium,50,9.855,50.0,OK,430000,0.29
10095,France,Home Care,8.0,2,Value,10,8.8,10.00000000000001,OK,430000,0.29
10096,France,Home Care,1.72,3,Value,10,1.892,10.00000000000001,OK,430000,0.29
10097,France,Personal Care,14.78,6,Standard,30,19.214,30.0,OK,430000,0.29
10098,Spain,Food & Refreshment,10.16,8,Premium,55,15.748,55.00000000000001,OK,410000,0.3
10099,France,Food & Refreshment,4.64,1,Value,12,5.196800000000001,12.00000000000001,OK,430000,0.29
10100,UK,Home Care,8.99,9,Premium,50,13.485,50.0,OK,520000,0.32
10101,Germany,Food & Refreshment,2.09,1,Value,12,2.3408,12.00000000000001,OK,460000,0.31
10102,France,Food & Refreshment,14.5,10,Premium,55,22.475,55.00000000000001,OK,430000,0.29
10103,France,Food & Refreshment,3.03,2,Value,12,3.3936,12.00000000000001,OK,430000,0.29
10104,Spain,Home Care,9.9,3,Value,10,10.89,10.00000000000001,OK,410000,0.3
10105,France,Home Care,4.06,7,Standard,25,5.074999999999999,25.0,OK,430000,0.29
10106,France,Food & Refreshment,10.9,9,Premium,55,16.895,54.99999999999999,OK,430000,0.29
10107,France,Food & Refreshment,11.76,3,Value,12,13.1712,12.00000000000001,OK,430000,0.29
10108,Spain,Home Care,10.26,8,Premium,50,15.39,50.0,OK,410000,0.3
10109,France,Personal Care,9.41,9,Premium,60,15.056,60.00000000000001,OK,430000,0.29
10110,Germany,Food & Refreshment,13.44,10,Premium,55,20.832,55.00000000000001,OK,460000,0.31
10111,Spain,Personal Care,1.64,7,Standard,30,2.132,30.0,OK,410000,0.3
10112,Germany,Food & Refreshment,5.3,4,Standard,28,6.784,28.0,OK,460000,0.31
10113,Spain,Personal Care,4.1,4,Standard,30,5.33,30.0,OK,410000,0.3
10114,France,Personal Care,14.83,4,Standard,30,19.279,30.0,OK,430000,0.29
10115,Germany,Personal Care,6.15,6,Standard,30,7.995000000000001,30.0,OK,460000,0.31
10116,Spain,Home Care,11.12,4,Standard,25,13.9,25.0,OK,410000,0.3
10117,UK,Personal Care,10.43,5,Standard,30,13.559,30.0,OK,520000,0.32
10118,France,Personal Care,3.58,9,Premium,60,5.728000000000001,60.00000000000001,OK,430000,0.29
10119,Spain,Personal Care,3.97,7,Standard,30,5.161,30.0,OK,410000,0.3
10120,UK,Food & Refreshment,4.58,8,Premium,55,7.099,55.00000000000001,OK,520000,0.32
10121,Spain,Personal Care,6.46,5,Standard,30,8.398,30.0,OK,410000,0.3
10122,UK,Food & Refreshment,3.9,5,Standard,28,4.992,28.0,OK,520000,0.32
10123,France,Personal Care,0.78,7,Standard,30,1.014,30.0,OK,430000,0.29
10124,Germany,Personal Care,13.25,8,Premium,60,21.2,60.00000000000003,OK,460000,0.31
10125,UK,Home Care,14.5,9,Premium,50,21.75,50.0,OK,520000,0.32
10126,Spain,Food & Refreshment,5.45,2,Value,12,6.104000000000001,12.00000000000001,OK,410000,0.3
10127,France,Personal Care,5.41,3,Value,15,6.2215,14.99999999999999,OK,430000,0.29
10128,UK,Food & Refreshment,0.6,2,Value,12,0.672,12.00000000000001,OK,520000,0.32
10129,Spain,Food & Refreshment,10.36,10,Premium,55,16.058,55.00000000000001,OK,410000,0.3
10130,Spain,Home Care,12.47,7,Standard,25,15.5875,25.0,OK,410000,0.3
10131,Spain,Home Care,2.63,2,Value,10,2.893,10.00000000000001,OK,410000,0.3
10132,UK,Home Care,2.82,2,Value,10,3.102,10.00000000000001,OK,520000,0.32
10133,UK,Home Care,11.96,2,Value,10,13.156,10.00000000000001,OK,520000,0.32
10134,UK,Home Care,9.44,4,Standard,25,11.8,25.0,OK,520000,0.32
10135,Germany,Home Care,1.15,1,Value,10,1.265,10.00000000000001,OK,460000,0.31
10136,UK,Home Care,9.53,2,Value,10,10.483,10.00000000000001,OK,520000,0.32
10137,UK,Home Care,4.98,3,Value,10,5.478000000000001,10.00000000000001,OK,520000,0.32
10138,UK,Personal Care,5.85,7,Standard,30,7.605,30.0,OK,520000,0.32
10139,Germany,Food & Refreshment,11.66,10,Premium,55,18.073,55.00000000000001,OK,460000,0.31
10140,UK,Home Care,12.26,1,Value,10,13.486,10.00000000000001,OK,520000,0.32
10141,Spain,Home Care,6.31,6,Standard,25,7.887499999999999,25.0,OK,410000,0.3
10142,UK,Food & Refreshment,14.23,3,Value,12,15.9376,12.00000000000001,OK,520000,0.32
10143,Spain,Personal Care,6.39,3,Value,15,7.348499999999999,14.99999999999999,OK,410000,0.3
10144,Spain,Food & Refreshment,11.69,4,Standard,28,14.9632,28.0,OK,410000,0.3
10145,Spain,Food & Refreshment,7.52,4,Standard,28,9.6256,28.0,OK,410000,0.3
10146,Germany,Home Care,13.51,7,Standard,25,16.8875,25.0,OK,460000,0.31
10147,Germany,Food & Refreshment,13.66,3,Value,12,15.2992,12.00000000000001,OK,460000,0.31
10148,Germany,Food & Refreshment,1.77,8,Premium,55,2.7435,55.00000000000001,OK,460000,0.31
10149,UK,Home Care,14.08,8,Premium,50,21.12,50.0,OK,520000,0.32
10150,Spain,Home Care,12.47,7,Standard,25,15.5875,25.0,OK,410000,0.3
10151,Germany,Home Care,11.97,2,Value,10,13.167,10.00000000000001,OK,460000,0.31
10152,Germany,Home Care,3.41,5,Standard,25,4.2625,25.0,OK,460000,0.31
10153,UK,Food & Refreshment,12.17,6,Standard,28,15.5776,28.0,OK,520000,0.32
10154,Germany,Food & Refreshment,12.83,10,Premium,55,19.8865,55.00000000000001,OK,460000,0.31
10155,UK,Personal Care,4.69,4,Standard,30,6.097,30.0,OK,520000,0.32
10156,France,Personal Care,14.31,10,Premium,60,22.896,60.00000000000001,OK,430000,0.29
10157,Germany,Food & Refreshment,1.22,5,Standard,28,1.5616,28.0,OK,460000,0.31
10158,France,Personal Care,2.67,9,Premium,60,4.272,60.00000000000001,OK,430000,0.29
10159,UK,Food & Refreshment,8.29,7,Standard,28,10.6112,28.0,OK,520000,0.32
10160,Spain,Personal Care,8.85,2,Value,15,10.1775,14.99999999999999,OK,410000,0.3
10161,Germany,Home Care,9.85,1,Value,10,10.835,10.00000000000001,OK,460000,0.31
10162,UK,Personal Care,0.75,2,Value,15,0.8624999999999999,14.99999999999999,OK,520000,0.32
10163,Spain,Home Care,14.43,3,Value,10,15.873,10.00000000000001,OK,410000,0.3
10164,Spain,Home Care,1.15,2,Value,10,1.265,10.00000000000001,OK,410000,0.3
10165,France,Home Care,2.57,3,Value,10,2.827,10.00000000000001,OK,430000,0.29
10166,UK,Home Care,0.7,10,Premium,50,1.05,49.99999999999998,OK,520000,0.32
10167,Spain,Personal Care,8.72,9,Premium,60,13.952,60.00000000000001,OK,410000,0.3
10168,Germany,Food & Refreshment,14.02,4,Standard,28,17.9456,28.0,OK,460000,0.31
10169,Germany,Home Care,10.16,9,Premium,50,15.24,50.0,OK,460000,0.31
10170,France,Personal Care,12.43,3,Value,15,14.2945,14.99999999999999,OK,430000,0.29
10171,Spain,Home Care,0.69,1,Value,10,0.759,10.00000000000001,OK,410000,0.3
10172,UK,Personal Care,8.36,5,Standard,30,10.868,30.0,OK,520000,0.32
10173,Germany,Personal Care,7.16,10,Premium,60,11.456,60.00000000000001,OK,460000,0.31
10174,Spain,Personal Care,7.74,10,Premium,60,12.384,60.00000000000001,OK,410000,0.3
10175,Spain,Food & Refreshment,1.55,2,Value,12,1.736,12.00000000000001,OK,410000,0.3
10176,France,Personal Care,10.42,4,Standard,30,13.546,30.0,OK,430000,0.29
10177,Germany,Personal Care,7.8,2,Value,15,8.969999999999999,14.99999999999999,OK,460000,0.31
10178,Germany,Food & Refreshment,11.59,2,Value,12,12.9808,12.00000000000001,OK,460000,0.31
10179,UK,Food & Refreshment,7.54,3,Value,12,8.4448,12.00000000000001,OK,520000,0.32
10180,Germany,Personal Care,2.67,5,Standard,30,3.471,30.0,OK,460000,0.31
10181,UK,Food & Refreshment,9.9,4,Standard,28,12.672,28.0,OK,520000,0.32
10182,Germany,Home Care,3.0,2,Value,10,3.3,10.00000000000001,OK,460000,0.31
10183,France,Home Care,13.15,10,Premium,50,19.725,50.0,OK,430000,0.29
10184,Germany,Food & Refreshment,9.39,2,Value,12,10.5168,12.00000000000001,OK,460000,0.31
10185,UK,Food & Refreshment,2.78,6,Standard,28,3.5584,28.0,OK,520000,0.32
10186,UK,Personal Care,14.45,7,Standard,30,18.785,30.0,OK,520000,0.32
10187,France,Food & Refreshment,8.02,10,Premium,55,12.431,55.00000000000001,OK,430000,0.29
10188,Germany,Personal Care,1.56,6,Standard,30,2.028,30.0,OK,460000,0.31
10189,Germany,Home Care,9.59,7,Standard,25,11.9875,25.0,OK,460000,0.31
10190,France,Food & Refreshment,4.17,1,Value,12,4.670400000000001,12.00000000000001,OK,430000,0.29
10191,Germany,Personal Care,12.15,6,Standard,30,15.795,30.0,OK,460000,0.31
10192,Germany,Personal Care,12.36,3,Value,15,14.214,14.99999999999999,OK,460000,0.31
10193,UK,Home Care,14.69,1,Value,10,16.159,10.00000000000003,OK,520000,0.32
10194,Germany,Food & Refreshment,7.78,8,Premium,55,12.059,55.00000000000001,OK,460000,0.31
10195,Germany,Home Care,7.1,4,Standard,25,8.875,25.0,OK,460000,0.31
10196,France,Personal Care,11.43,10,Premium,60,18.288,60.00000000000001,OK,430000,0.29
10197,France,Personal Care,2.42,8,Premium,60,3.872,60.00000000000001,OK,430000,0.29
10198,Spain,Food & Refreshment,8.43,10,Premium,55,13.0665,55.00000000000001,OK,410000,0.3
10199,UK,Personal Care,8.42,4,Standard,30,10.946,30.0,OK,520000,0.32
10200,Germany,Food & Refreshment,1.8,4,Standard,28,2.304,28.0,OK,460000,0.31
10201,Germany,Home Care,6.56,10,Premium,50,9.84,50.0,OK,460000,0.31
10202,Spain,Food & Refreshment,12.87,4,Standard,28,16.4736,27.99999999999998,OK,410000,0.3
10203,Germany,Food & Refreshment,12.91,6,Standard,28,16.5248,27.99999999999998,OK,460000,0.31
10204,UK,Personal Care,1.94,9,Premium,60,3.104,60.00000000000001,OK,520000,0.32
10205,Spain,Personal Care,1.82,5,Standard,30,2.366,30.0,OK,410000,0.3
10206,UK,Food & Refreshment,4.31,10,Premium,55,6.680499999999999,55.00000000000001,OK,520000,0.32
10207,Spain,Personal Care,13.18,8,Premium,60,21.088,60.00000000000001,OK,410000,0.3
10208,Spain,Personal Care,2.37,8,Premium,60,3.792,60.00000000000001,OK,410000,0.3
10209,France,Personal Care,10.94,4,Standard,30,14.222,30.0,OK,430000,0.29
10210,UK,Food & Refreshment,1.97,10,Premium,55,3.0535,55.00000000000001,OK,520000,0.32
10211,Germany,Personal Care,9.54,9,Premium,60,15.264,60.00000000000001,OK,460000,0.31
10212,Germany,Food & Refreshment,5.66,9,Premium,55,8.773,54.99999999999999,OK,460000,0.31
10213,UK,Personal Care,11.94,5,Standard,30,15.522,30.0,OK,520000,0.32
10214,Germany,Home Care,3.89,6,Standard,25,4.8625,25.0,OK,460000,0.31
10215,Germany,Personal Care,9.77,5,Standard,30,12.701,30.0,OK,460000,0.31
10216,UK,Personal Care,3.92,3,Value,15,4.508,15.00000000000001,OK,520000,0.32
10217,Spain,Food & Refreshment,10.85,8,Premium,55,16.8175,55.00000000000001,OK,410000,0.3
10218,UK,Food & Refreshment,13.17,9,Premium,55,20.4135,55.00000000000001,OK,520000,0.32
10219,Spain,Personal Care,2.34,4,Standard,30,3.042,30.0,OK,410000,0.3
10220,Germany,Home Care,13.07,9,Premium,50,19.605,50.0,OK,460000,0.31
10221,Germany,Personal Care,9.11,9,Premium,60,14.576,60.00000000000001,OK,460000,0.31
10222,Germany,Personal Care,2.34,7,Standard,30,3.042,30.0,OK,460000,0.31
10223,France,Home Care,6.7,8,Premium,50,10.05,50.0,OK,430000,0.29
10224,Spain,Food & Refreshment,2.83,3,Value,12,3.1696,12.00000000000001,OK,410000,0.3
10225,France,Personal Care,10.66,5,Standard,30,13.858,30.0,OK,430000,0.29
10226,France,Food & Refreshment,11.5,3,Value,12,12.88,12.00000000000001,OK,430000,0.29
10227,UK,Food & Refreshment,2.03,7,Standard,28,2.5984,28.0,OK,520000,0.32
10228,France,Home Care,7.84,6,Standard,25,9.8,25.00000000000002,OK,430000,0.29
10229,UK,Home Care,12.31,3,Value,10,13.541,10.00000000000001,OK,520000,0.32
10230,UK,Food & Refreshment,14.07,9,Premium,55,21.8085,55.00000000000001,OK,520000,0.32
10231,France,Personal Care,7.95,1,Value,15,9.1425,14.99999999999999,OK,430000,0.29
10232,Spain,Food & Refreshment,14.28,10,Premium,55,22.134,55.00000000000001,OK,410000,0.3
10233,Spain,Personal Care,8.27,3,Value,15,9.510499999999999,14.99999999999999,OK,410000,0.3
10234,Spain,Personal Care,6.22,10,Premium,60,9.952,60.00000000000001,OK,410000,0.3
10235,Spain,Home Care,12.8,7,Standard,25,16.0,25.0,OK,410000,0.3
10236,Spain,Personal Care,7.65,3,Value,15,8.7975,14.99999999999999,OK,410000,0.3
10237,France,Personal Care,7.34,3,Value,15,8.440999999999999,14.99999999999999,OK,430000,0.29
10238,France,Food & Refreshment,7.61,2,Value,12,8.523200000000001,12.00000000000001,OK,430000,0.29
10239,Germany,Home Care,12.78,9,Premium,50,19.17,50.0,OK,460000,0.31
10240,Spain,Personal Care,12.56,4,Standard,30,16.328,30.00000000000003,OK,410000,0.3
10241,France,Personal Care,6.35,10,Premium,60,10.16,60.00000000000001,OK,430000,0.29
10242,Germany,Home Care,5.33,6,Standard,25,6.6625,25.0,OK,460000,0.31
10243,Spain,Food & Refreshment,7.63,2,Value,12,8.5456,12.00000000000001,OK,410000,0.3
10244,UK,Home Care,8.81,9,Premium,50,13.215,50.0,OK,520000,0.32
10245,Germany,Home Care,3.96,7,Standard,25,4.95,25.0,OK,460000,0.31
10246,France,Personal Care,12.01,10,Premium,60,19.216,60.00000000000001,OK,430000,0.29
10247,UK,Personal Care,7.55,5,Standard,30,9.815,30.0,OK,520000,0.32
10248,UK,Food & Refreshment,5.34,7,Standard,28,6.8352,28.0,OK,520000,0.32
10249,UK,Personal Care,2.05,4,Standard,30,2.665,30.0,OK,520000,0.32
10250,Germany,Personal Care,3.96,10,Premium,60,6.336,60.00000000000001,OK,460000,0.31
10251,France,Home Care,14.26,7,Standard,25,17.825,25.0,OK,430000,0.29
10252,UK,Personal Care,4.92,2,Value,15,5.657999999999999,14.99999999999999,OK,520000,0.32
10253,Spain,Food & Refreshment,2.95,7,Standard,28,3.776,28.0,OK,410000,0.3
10254,UK,Home Care,7.18,4,Standard,25,8.975,25.0,OK,520000,0.32
10255,UK,Food & Refreshment,4.95,4,Standard,28,6.336,28.0,OK,520000,0.32
10256,Germany,Home Care,1.01,1,Value,10,1.111,10.00000000000001,OK,460000,0.31
10257,Germany,Personal Care,5.19,3,Value,15,5.9685,14.99999999999999,OK,460000,0.31
10258,France,Home Care,8.39,5,Standard,25,10.4875,25.0,OK,430000,0.29
10259,Spain,Home Care,8.5,5,Standard,25,10.625,25.0,OK,410000,0.3
10260,Germany,Personal Care,5.67,2,Value,15,6.520499999999999,14.99999999999999,OK,460000,0.31
10261,UK,Personal Care,6.99,4,Standard,30,9.087,29.99999999999998,OK,520000,0.32
10262,France,Food & Refreshment,14.5,1,Value,12,16.24,12.00000000000001,OK,430000,0.29
10263,UK,Food & Refreshment,5.97,9,Premium,55,9.2535,55.00000000000003,OK,520000,0.32
10264,UK,Personal Care,4.24,1,Value,15,4.875999999999999,14.99999999999999,OK,520000,0.32
10265,Germany,Personal Care,4.03,6,Standard,30,5.239000000000001,30.0,OK,460000,0.31
10266,France,Personal Care,7.14,7,Standard,30,9.282,30.0,OK,430000,0.29
10267,Spain,Home Care,11.51,3,Value,10,12.661,10.00000000000001,OK,410000,0.3
10268,Spain,Home Care,3.49,1,Value,10,3.839,10.00000000000001,OK,410000,0.3
10269,Germany,Home Care,10.78,7,Standard,25,13.475,25.0,OK,460000,0.31
10270,Germany,Personal Care,0.81,3,Value,15,0.9315,14.99999999999999,OK,460000,0.31
10271,France,Food & Refreshment,6.57,10,Premium,55,10.1835,55.00000000000001,OK,430000,0.29
10272,Spain,Personal Care,11.75,6,Standard,30,15.275,30.0,OK,410000,0.3
10273,Spain,Home Care,5.41,6,Standard,25,6.7625,25.0,OK,410000,0.3
10274,Spain,Home Care,8.67,4,Standard,25,10.8375,25.0,OK,410000,0.3
10275,UK,Personal Care,3.47,6,Standard,30,4.511,30.0,OK,520000,0.32
10276,Spain,Personal Care,11.26,10,Premium,60,18.016,60.00000000000001,OK,410000,0.3
10277,UK,Home Care,1.26,4,Standard,25,1.575,25.0,OK,520000,0.32
10278,France,Home Care,12.86,8,Premium,50,19.29,50.0,OK,430000,0.29
10279,UK,Home Care,3.37,9,Premium,50,5.055,49.99999999999998,OK,520000,0.32
10280,France,Personal Care,13.18,2,Value,15,15.157,14.99999999999999,OK,430000,0.29
10281,Spain,Home Care,5.61,7,Standard,25,7.0125,25.0,OK,410000,0.3
10282,Spain,Home Care,10.98,9,Premium,50,16.47,49.99999999999998,OK,410000,0.3
10283,France,Food & Refreshment,5.13,9,Premium,55,7.9515,55.00000000000001,OK,430000,0.29
10284,Germany,Personal Care,13.64,5,Standard,30,17.732,30.00000000000003,OK,460000,0.31
10285,France,Food & Refreshment,2.34,1,Value,12,2.6208,12.00000000000001,OK,430000,0.29
10286,Germany,Food & Refreshment,3.09,6,Standard,28,3.9552,28.0,OK,460000,0.31
10287,UK,Home Care,7.65,8,Premium,50,11.475,50.00000000000002,OK,520000,0.32
10288,UK,Personal Care,1.69,1,Value,15,1.9435,14.99999999999999,OK,520000,0.32
10289,UK,Home Care,3.34,2,Value,10,3.674,10.00000000000001,OK,520000,0.32
10290,Spain,Personal Care,14.18,1,Value,15,16.307,14.99999999999999,OK,410000,0.3
10291,UK,Food & Refreshment,14.66,5,Standard,28,18.7648,28.0,OK,520000,0.32
10292,Germany,Personal Care,5.96,2,Value,15,6.853999999999999,14.99999999999999,OK,460000,0.31
10293,UK,Home Care,13.89,10,Premium,50,20.835,50.0,OK,520000,0.32
10294,France,Home Care,8.4,10,Premium,50,12.6,50.0,OK,430000,0.29
10295,France,Home Care,4.41,4,Standard,25,5.5125,25.0,OK,430000,0.29
10296,Spain,Personal Care,10.68,1,Value,15,12.282,14.99999999999999,OK,410000,0.3
10297,France,Food & Refreshment,10.05,7,Standard,28,12.864,28.0,OK,430000,0.29
10298,Germany,Food & Refreshment,14.84,8,Premium,55,23.002,55.00000000000001,OK,460000,0.31
10299,UK,Personal Care,4.34,5,Standard,30,5.642,30.0,OK,520000,0.32
10300,Spain,Home Care,10.24,2,Value,10,11.264,10.00000000000001,OK,410000,0.3
10301,UK,Food & Refreshment,1.25,8,Premium,55,1.9375,55.00000000000001,OK,520000,0.32
10302,UK,Home Care,2.15,1,Value,10,2.365,10.00000000000001,OK,520000,0.32
10303,Germany,Personal Care,0.56,7,Standard,30,0.7280000000000001,30.0,OK,460000,0.31
