Region,Category,Recommended_selling_price,Brand_Strength_Score,Target_margin,Base_Cost,Actual_Is_Premium,Premium_Probability,Premium_Segment
Germany,Personal Care,11.84,10,0.31,7.4,1,0.9999999960559502,Strong Premium
Spain,Personal Care,2.3805,1,0.3,2.07,0,1.602346421702386e-22,Standard / Value
France,Food & Refreshment,12.04,2,0.29,10.75,0,3.482070440007813e-19,Standard / Value
Spain,Personal Care,6.266000000000001,4,0.3,4.82,0,1.857679215589718e-12,Standard / Value
UK,Food & Refreshment,2.0352,6,0.32,1.59,0,9.772270736172202e-06,Standard / Value
UK,Food & Refreshment,11.1488,7,0.32,8.71,0,0.02096282960832758,Standard / Value
Germany,Home Care,15.24,9,0.31,10.16,1,0.9999909003253045,Strong Premium
France,Personal Care,2.717,7,0.29,2.09,0,0.02168116854473042,Standard / Value
France,Food & Refreshment,10.4048,1,0.29,9.29,0,1.542884096216276e-22,Standard / Value
Spain,Personal Care,5.404999999999999,1,0.3,4.7,0,1.580461654265144e-22,Standard / Value
UK,Home Care,14.8375,7,0.32,11.87,0,0.02062638397901818,Standard / Value
France,Food & Refreshment,8.844800000000001,4,0.29,6.91,0,1.837372857676501e-12,Standard / Value
Germany,Home Care,5.544,2,0.31,5.04,0,3.588053181543821e-19,Standard / Value
Spain,Personal Care,0.962,7,0.3,0.74,0,0.0218327456968848,Standard / Value
Spain,Home Care,10.35,10,0.3,6.9,1,0.9999999960660013,Strong Premium
Germany,Home Care,15.048,3,0.31,13.68,0,7.799344461163086e-16,Standard / Value
France,Food & Refreshment,2.4832,5,0.29,1.94,0,4.28848004771357e-09,Standard / Value
Germany,Home Care,9.427000000000001,3,0.31,8.57,0,8.010550645921418e-16,Standard / Value
Germany,Home Care,20.445,8,0.31,13.63,1,0.9793617571587365,Strong Premium
UK,Food & Refreshment,8.5248,7,0.32,6.66,0,0.02118395935327604,Standard / Value
Germany,Food & Refreshment,2.4832,4,0.31,1.94,0,1.885984651210661e-12,Standard / Value
France,Home Care,9.8,6,0.29,7.84,0,9.4562897049563e-06,Standard / Value
France,Food & Refreshment,12.864,7,0.29,10.05,0,0.02081567073373681,Standard / Value
Germany,Food & Refreshment,10.2912,7,0.31,8.04,0,0.02103355929682349,Standard / Value
France,Personal Care,3.082,3,0.29,2.68,0,8.260064209920232e-16,Standard / Value
France,Food & Refreshment,17.3696,4,0.29,13.57,0,1.774488305910111e-12,Standard / Value
France,Home Care,3.8875,5,0.29,3.11,0,4.262323884780133e-09,Standard / Value
UK,Personal Care,1.127,1,0.32,0.98,0,1.611707411646459e-22,Standard / Value
UK,Home Care,1.7375,6,0.32,1.39,0,9.78249567981153e-06,Standard / Value
France,Food & Refreshment,5.239,8,0.29,3.38,1,0.9804152742486132,Strong Premium
Germany,Food & Refreshment,12.586,10,0.31,8.12,1,0.9999999960410735,Strong Premium
Germany,Personal Care,12.103,5,0.31,9.31,0,4.12687598069875e-09,Standard / Value
Germany,Personal Care,21.6,10,0.31,13.5,1,0.9999999959281212,Strong Premium
Germany,Personal Care,1.014,6,0.31,0.78,0,9.81313198510309e-06,Standard / Value
Spain,Home Care,10.4875,4,0.3,8.39,0,1.823323082699051e-12,Standard / Value
France,Food & Refreshment,2.2528,6,0.29,1.76,0,9.761749806908083e-06,Standard / Value
UK,Home Care,15.301,3,0.32,13.91,0,7.790459115386314e-16,Standard / Value
France,Food & Refreshment,20.429,10,0.29,13.18,1,0.9999999959344184,Strong Premium
UK,Food & Refreshment,15.168,6,0.32,11.85,0,9.261820041282115e-06,Standard / Value
UK,Personal Care,2.208,8,0.32,1.38,1,0.9806186503786007,Strong Premium
UK,Home Care,18.15,5,0.32,14.52,0,4.01621835166597e-09,Standard / Value
France,Personal Care,4.272,9,0.29,2.67,1,0.9999912487208974,Strong Premium
France,Home Care,20.505,8,0.29,13.67,1,0.9793549914321472,Strong Premium
Spain,Food & Refreshment,13.7485,10,0.3,8.87,1,0.9999999960252679,Strong Premium
UK,Personal Care,3.536,9,0.32,2.21,1,0.9999912713885197,Strong Premium
UK,Food & Refreshment,0.8736000000000002,1,0.32,0.78,0,1.613393793359119e-22,Standard / Value
UK,Food & Refreshment,5.275200000000001,1,0.32,4.71,0,1.580577400442646e-22,Standard / Value
Spain,Personal Care,22.544,8,0.3,14.09,1,0.9793118127592823,Strong Premium
Spain,Personal Care,9.4645,3,0.3,8.23,0,8.024301121526988e-16,Standard / Value
Spain,Food & Refreshment,11.8528,7,0.3,9.26,0,0.02090131853535968,Standard / Value
Spain,Food & Refreshment,15.6288,7,0.3,12.21,0,0.02058796943859718,Standard / Value
UK,Personal Care,1.633,2,0.32,1.42,0,3.656846788555448e-19,Standard / Value
Spain,Food & Refreshment,2.666,8,0.3,1.72,1,0.9805824426021217,Strong Premium
Germany,Personal Care,11.375,6,0.31,8.75,0,9.412582328267188e-06,Standard / Value
UK,Personal Care,2.665,4,0.32,2.05,0,1.885018480946003e-12,Standard / Value
Spain,Personal Care,9.878499999999999,3,0.3,8.59,0,8.009210275160726e-16,Standard / Value
France,Personal Care,16.159,7,0.29,12.43,0,0.02056352207872765,Standard / Value
France,Food & Refreshment,17.4336,4,0.29,13.62,0,1.774024433063877e-12,Standard / Value
France,Home Care,6.324999999999999,5,0.29,5.06,0,4.219084312144356e-09,Standard / Value
France,Personal Care,20.736,10,0.29,12.96,1,0.9999999959390926,Strong Premium
Spain,Home Care,8.1625,4,0.3,6.53,0,1.84114288139058e-12,Standard / Value
France,Personal Care,11.7875,1,0.29,10.25,0,1.535158579468805e-22,Standard / Value
France,Food & Refreshment,4.0576,5,0.29,3.17,0,4.260986851715954e-09,Standard / Value
Spain,Food & Refreshment,6.630400000000001,3,0.3,5.92,0,8.121812949198021e-16,Standard / Value
Spain,Food & Refreshment,9.475200000000003,2,0.3,8.46,0,3.524237408283027e-19,Standard / Value
UK,Personal Care,3.744,4,0.32,2.88,0,1.876855210200859e-12,Standard / Value
Germany,Personal Care,0.6890000000000001,4,0.31,0.53,0,1.899940999747513e-12,Standard / Value
France,Personal Care,10.16,10,0.29,6.35,1,0.9999999960770527,Strong Premium
UK,Personal Care,15.782,5,0.32,12.14,0,4.0665118695357e-09,Standard / Value
Germany,Personal Care,13.792,8,0.31,8.62,1,0.9798846609712724,Strong Premium
Germany,Food & Refreshment,3.6624,1,0.31,3.27,0,1.592423575904833e-22,Standard / Value
Spain,Home Care,8.675,4,0.3,6.94,0,1.837199956758096e-12,Standard / Value
Germany,Food & Refreshment,2.304,4,0.31,1.8,0,1.887365791321035e-12,Standard / Value
France,Personal Care,19.744,10,0.29,12.34,1,0.9999999959522365,Strong Premium
UK,Personal Care,11.778,5,0.32,9.06,0,4.132533645955841e-09,Standard / Value
Spain,Food & Refreshment,18.8288,6,0.3,14.71,0,9.123198572905305e-06,Standard / Value
Spain,Home Care,10.527,3,0.3,9.57,0,7.968273268400437e-16,Standard / Value
France,Home Care,13.89,8,0.29,9.26,1,0.9798161105301756,Strong Premium
UK,Food & Refreshment,3.3945,10,0.32,2.19,1,0.9999999961621873,Strong Premium
France,Home Care,3.784,1,0.29,3.44,0,1.590808977068991e-22,Standard / Value
Spain,Home Care,4.32,9,0.3,2.88,1,0.9999912396559675,Strong Premium
Spain,Food & Refreshment,11.1552,1,0.3,9.96,0,1.537584740198347e-22,Standard / Value
UK,Personal Care,9.613999999999999,3,0.32,8.36,0,8.019854979206778e-16,Standard / Value
France,Home Care,11.67,8,0.29,7.78,1,0.9799685901950423,Strong Premium
Spain,Personal Care,6.669999999999999,1,0.3,5.8,0,1.571397217337167e-22,Standard / Value
UK,Food & Refreshment,1.2432,2,0.32,1.11,0,3.662779224683535e-19,Standard / Value
UK,Food & Refreshment,8.2432,6,0.32,6.44,0,9.52756148557131e-06,Standard / Value
Germany,Personal Care,14.391,5,0.31,11.07,0,4.089070931665829e-09,Standard / Value
Germany,Personal Care,3.471,5,0.31,2.67,0,4.27267790425529e-09,Standard / Value
Spain,Food & Refreshment,12.679,9,0.3,8.18,1,0.9999909934846423,Strong Premium
France,Home Care,11.655,8,0.29,7.77,1,0.9799696166156159,Strong Premium
UK,Personal Care,12.7075,2,0.32,11.05,0,3.477267124445796e-19,Standard / Value
UK,Personal Care,17.472,10,0.32,10.92,1,0.9999999959829367,Strong Premium
France,Home Care,5.88,8,0.29,3.92,1,0.9803609838369222,Strong Premium
France,Personal Care,4.2435,1,0.29,3.69,0,1.588730779717656e-22,Standard / Value
UK,Home Care,8.55,7,0.32,6.84,0,0.02116445203435363,Standard / Value
Germany,Personal Care,16.736,10,0.31,10.46,1,0.9999999959923358,Strong Premium
France,Home Care,11.7,10,0.29,7.8,1,0.9999999960471961,Strong Premium
France,Home Care,13.3875,6,0.29,10.71,0,9.315439806487492e-06,Standard / Value
UK,Food & Refreshment,10.5245,10,0.32,6.79,1,0.9999999960687569,Strong Premium
Germany,Food & Refreshment,3.886400000000001,2,0.31,3.47,0,3.617630239434667e-19,Standard / Value
Spain,Food & Refreshment,3.2,5,0.3,2.5,0,4.276209263186804e-09,Standard / Value
Spain,Food & Refreshment,12.214,9,0.3,7.88,1,0.9999910076017633,Strong Premium
France,Personal Care,18.317,5,0.29,14.09,0,4.024500913506264e-09,Standard / Value
Germany,Personal Care,9.184000000000001,10,0.31,5.74,1,0.9999999960900365,Strong Premium
Germany,Personal Care,17.407,4,0.31,13.39,0,1.776382214219768e-12,Standard / Value
Spain,Food & Refreshment,3.9296,4,0.3,3.07,0,1.874756149372292e-12,Standard / Value
UK,Home Care,20.31,10,0.32,13.54,1,0.999999995927525,Strong Premium
Spain,Food & Refreshment,9.6256,4,0.3,7.52,0,1.831636578316091e-12,Standard / Value
Spain,Personal Care,18.382,4,0.3,14.14,0,1.769318378929978e-12,Standard / Value
UK,Home Care,0.7370000000000001,2,0.32,0.67,0,3.671215984534258e-19,Standard / Value
Spain,Home Care,8.6375,4,0.3,6.91,0,1.837488176895686e-12,Standard / Value
France,Food & Refreshment,17.024,5,0.29,13.3,0,4.041159916562749e-09,Standard / Value
Germany,Home Care,4.2625,5,0.31,3.41,0,4.256177123692512e-09,Standard / Value
Germany,Home Care,12.7875,7,0.31,10.23,0,0.0207990516383292,Standard / Value
Germany,Personal Care,10.9135,3,0.31,9.49,0,7.972107529979241e-16,Standard / Value
Spain,Home Care,7.315000000000001,1,0.3,6.65,0,1.564428502249172e-22,Standard / Value
Spain,Home Care,6.798,3,0.3,6.18,0,8.110778676204355e-16,Standard / Value
Spain,Food & Refreshment,0.8959999999999999,6,0.3,0.7,0,9.816621659963516e-06,Standard / Value
Spain,Personal Care,10.01,7,0.3,7.7,0,0.02106890366674064,Standard / Value
UK,Food & Refreshment,8.8192,5,0.32,6.89,0,4.179691600140702e-09,Standard / Value
Spain,Home Care,21.54,10,0.3,14.36,1,0.9999999959095125,Strong Premium
Germany,Home Care,10.472,3,0.31,9.52,0,7.970857061019428e-16,Standard / Value
Germany,Personal Care,18.59,4,0.31,14.3,0,1.767949691160186e-12,Standard / Value
Spain,Food & Refreshment,16.895,9,0.3,10.9,1,0.999990864473749,Strong Premium
France,Home Care,12.188,2,0.29,11.08,0,3.476067148606166e-19,Standard / Value
France,Home Care,13.387,1,0.29,12.17,0,1.519823401714572e-22,Standard / Value
France,Personal Care,15.157,2,0.29,13.18,0,3.438106137529134e-19,Standard / Value
France,Home Care,15.18,8,0.29,10.12,1,0.9797269858862993,Strong Premium
UK,Food & Refreshment,6.7735,9,0.32,4.37,1,0.9999911722454113,Strong Premium
Spain,Personal Care,12.9835,1,0.3,11.29,0,1.526928745204245e-22,Standard / Value
Spain,Personal Care,2.0355,2,0.3,1.77,0,3.649702276539288e-19,Standard / Value
Germany,Food & Refreshment,2.3408,1,0.31,2.09,0,1.60227941713033e-22,Standard / Value
UK,Personal Care,0.9199999999999999,1,0.32,0.8,0,1.613225075815084e-22,Standard / Value
Germany,Personal Care,16.399,2,0.31,14.26,0,3.419174198548161e-19,Standard / Value
Spain,Home Care,6.578000000000001,1,0.3,5.98,0,1.569918903314416e-22,Standard / Value
France,Home Care,5.192,3,0.29,4.72,0,8.172422283743683e-16,Standard / Value
UK,Personal Care,0.793,5,0.32,0.61,0,4.319221273140867e-09,Standard / Value
France,Home Care,10.675,5,0.29,8.54,0,4.143005336159873e-09,Standard / Value
UK,Home Care,2.075,4,0.32,1.66,0,1.888866486543753e-12,Standard / Value
Germany,Home Care,16.225,2,0.31,14.75,0,3.410424891993578e-19,Standard / Value
UK,Personal Care,17.329,4,0.32,13.33,0,1.777051142266965e-12,Standard / Value
France,Personal Care,0.8320000000000001,5,0.29,0.64,0,4.317730745963656e-09,Standard / Value
UK,Home Care,6.655,2,0.32,6.05,0,3.569377857651787e-19,Standard / Value
France,Food & Refreshment,7.68,6,0.29,6.0,0,9.547709010751594e-06,Standard / Value
Spain,Home Care,14.256,2,0.3,12.96,0,3.442279521166442e-19,Standard / Value
Germany,Personal Care,12.051,4,0.31,9.27,0,1.815066327689365e-12,Standard / Value
Spain,Food & Refreshment,4.364800000000001,6,0.3,3.41,0,9.678498568885278e-06,Standard / Value
Germany,Home Care,3.3,1,0.31,3.0,0,1.594673363644367e-22,Standard / Value
Germany,Home Care,14.267,2,0.31,12.97,0,3.442315568432387e-19,Standard / Value
UK,Personal Care,11.73,2,0.32,10.2,0,3.492756540446791e-19,Standard / Value
Germany,Personal Care,18.496,9,0.31,11.56,1,0.9999908334673486,Strong Premium
Germany,Home Care,16.175,6,0.31,12.94,0,9.20860469401436e-06,Standard / Value
Spain,Home Care,8.14,2,0.3,7.4,0,3.543825301502877e-19,Standard / Value
UK,Home Care,12.9,6,0.32,10.32,0,9.336213488391164e-06,Standard / Value
Germany,Home Care,13.8625,4,0.31,11.09,0,1.797874914075862e-12,Standard / Value
France,Home Care,20.655,9,0.29,13.77,1,0.9999907257620888,Strong Premium
Spain,Personal Care,18.187,6,0.3,13.99,0,9.157610262871479e-06,Standard / Value
UK,Food & Refreshment,4.7872,7,0.32,3.74,0,0.02150287941388207,Standard / Value
Spain,Food & Refreshment,12.9152,5,0.3,10.09,0,4.109820589864544e-09,Standard / Value
Germany,Food & Refreshment,16.7245,8,0.31,10.79,1,0.9796597859602828,Strong Premium
Germany,Food & Refreshment,4.48,6,0.31,3.5,0,9.674552110825319e-06,Standard / Value
Spain,Food & Refreshment,4.6336,4,0.3,3.62,0,1.869372265223018e-12,Standard / Value
Spain,Personal Care,14.183,4,0.3,10.91,0,1.799454943486519e-12,Standard / Value
Spain,Home Care,19.74,8,0.3,13.16,1,0.9794101067587245,Strong Premium
Spain,Personal Care,9.061,7,0.3,6.97,0,0.02114777581057565,Standard / Value
France,Home Care,14.322,3,0.29,13.02,0,7.825324899425244e-16,Standard / Value
UK,Food & Refreshment,17.3445,8,0.32,11.19,1,0.9796193195399759,Strong Premium
Germany,Home Care,17.2,6,0.31,13.76,0,9.169205662858927e-06,Standard / Value
Spain,Food & Refreshment,11.1328,3,0.3,9.94,0,7.952871929690923e-16,Standard / Value
Spain,Personal Care,0.992,8,0.3,0.62,1,0.9806916580187486,Strong Premium
UK,Personal Care,4.48,8,0.32,2.8,1,0.9804770267585826,Strong Premium
Spain,Home Care,8.734000000000002,1,0.3,7.94,0,1.553911448275395e-22,Standard / Value
UK,Home Care,12.2125,6,0.32,9.77,0,9.363101991078614e-06,Standard / Value
Germany,Food & Refreshment,8.029,9,0.31,5.18,1,0.9999911342207036,Strong Premium
Spain,Home Care,5.85,6,0.3,4.68,0,9.614439755158776e-06,Standard / Value
France,Personal Care,15.379,7,0.29,11.83,0,0.02062680565117178,Standard / Value
Germany,Food & Refreshment,23.002,8,0.31,14.84,1,0.9792334852562978,Strong Premium
UK,Home Care,14.825,5,0.32,11.86,0,4.072470008303119e-09,Standard / Value
UK,Personal Care,16.7325,1,0.32,14.55,0,1.501309282271244e-22,Standard / Value
UK,Personal Care,4.956499999999999,2,0.32,4.31,0,3.602001430747373e-19,Standard / Value
France,Personal Care,4.095,7,0.29,3.15,0,0.02156391376080594,Standard / Value
Germany,Personal Care,3.728,8,0.31,2.33,1,0.9805228155571517,Strong Premium
France,Personal Care,9.1425,1,0.29,7.95,0,1.553732680422969e-22,Standard / Value
UK,Home Care,7.035,10,0.32,4.69,1,0.9999999961116888,Strong Premium
France,Food & Refreshment,19.189,8,0.29,12.38,1,0.9794909334996867,Strong Premium
France,Personal Care,15.405,6,0.29,11.85,0,9.260076374656912e-06,Standard / Value
Spain,Food & Refreshment,14.5488,2,0.3,12.99,0,3.441739580670677e-19,Standard / Value
UK,Home Care,16.665,10,0.32,11.11,1,0.9999999959789436,Strong Premium
Germany,Personal Care,9.751999999999999,1,0.31,8.48,0,1.549627233977427e-22,Standard / Value
UK,Home Care,5.654,1,0.32,5.14,0,1.577027561504489e-22,Standard / Value
UK,Home Care,2.3875,4,0.32,1.91,0,1.886398913512705e-12,Standard / Value
Germany,Food & Refreshment,13.2608,7,0.31,10.36,0,0.02078521183797154,Standard / Value
Germany,Food & Refreshment,3.751,9,0.31,2.42,1,0.9999912612502404,Strong Premium
UK,Home Care,3.96,10,0.32,2.64,1,0.9999999961531463,Strong Premium
Germany,Personal Care,21.872,9,0.31,13.67,1,0.9999907317736385,Strong Premium
Germany,Food & Refreshment,14.672,1,0.31,13.1,0,1.51264044863008e-22,Standard / Value
Spain,Home Care,13.365,9,0.3,8.91,1,0.999990959040336,Strong Premium
Germany,Personal Care,8.71,7,0.31,6.7,0,0.02117832180904232,Standard / Value
Germany,Home Care,12.925,7,0.31,10.34,0,0.02078734045119367,Standard / Value
France,Food & Refreshment,20.429,8,0.29,13.18,1,0.9794067319246206,Strong Premium
France,Home Care,14.443,2,0.29,13.13,0,3.439005135338844e-19,Standard / Value
UK,Personal Care,17.381,7,0.32,13.37,0,0.0204685344583465,Standard / Value
UK,Home Care,20.445,9,0.32,13.63,1,0.9999907342934721,Strong Premium
France,Home Care,6.226000000000001,1,0.29,5.66,0,1.572449287679174e-22,Standard / Value
UK,Food & Refreshment,16.7776,2,0.32,14.98,0,3.406539590534955e-19,Standard / Value
UK,Food & Refreshment,10.3936,3,0.32,9.28,0,7.981367211207701e-16,Standard / Value
UK,Home Care,4.38,10,0.32,2.92,1,0.9999999961475099,Strong Premium
UK,Home Care,16.005,3,0.32,14.55,0,7.764431815304442e-16,Standard / Value
Spain,Food & Refreshment,14.198,10,0.3,9.16,1,0.9999999960192361,Strong Premium
UK,Personal Care,13.936,5,0.32,10.72,0,4.096818405224969e-09,Standard / Value
UK,Home Care,16.125,5,0.32,12.9,0,4.050383682290341e-09,Standard / Value
Spain,Personal Care,19.461,6,0.3,14.97,0,9.110803933051761e-06,Standard / Value
Germany,Home Care,15.125,2,0.31,13.75,0,3.42830445941975e-19,Standard / Value
Germany,Food & Refreshment,15.68,5,0.31,12.25,0,4.063918493665537e-09,Standard / Value
UK,Home Care,17.895,10,0.32,11.93,1,0.9999999959616654,Strong Premium
Germany,Personal Care,8.1535,3,0.31,7.09,0,8.072783283429948e-16,Standard / Value
UK,Food & Refreshment,10.3695,9,0.32,6.69,1,0.9999910645037094,Strong Premium
Spain,Home Care,15.5875,7,0.3,12.47,0,0.02056057377414654,Standard / Value
Spain,Food & Refreshment,7.5392,6,0.3,5.89,0,9.55380179084631e-06,Standard / Value
Germany,Food & Refreshment,14.8352,7,0.31,11.59,0,0.02065471135179341,Standard / Value
Spain,Personal Care,9.815,4,0.3,7.55,0,1.83134927603395e-12,Standard / Value
Germany,Personal Care,19.728,9,0.31,12.33,1,0.9999907964863205,Strong Premium
Germany,Food & Refreshment,19.034,9,0.31,12.28,1,0.9999907988922088,Strong Premium
UK,Home Care,1.034,2,0.32,0.94,0,3.666036581090561e-19,Standard / Value
Germany,Home Care,8.954,3,0.31,8.14,0,8.028582140926969e-16,Standard / Value
UK,Personal Care,7.696,7,0.32,5.92,0,0.02126434108227397,Standard / Value
UK,Personal Care,2.848,10,0.32,1.78,1,0.9999999961704062,Strong Premium
Spain,Food & Refreshment,7.1765,9,0.3,4.63,1,0.9999911591261907,Strong Premium
France,Home Care,13.959,1,0.29,12.69,0,1.51569655110034e-22,Standard / Value
Spain,Home Care,18.705,8,0.3,12.47,1,0.9794827389799196,Strong Premium
UK,Food & Refreshment,10.3296,4,0.32,8.07,0,1.826605789322915e-12,Standard / Value
Spain,Food & Refreshment,10.432,7,0.3,8.15,0,0.02102042732859685,Standard / Value
UK,Personal Care,21.008,8,0.32,13.13,1,0.9794158006518059,Strong Premium
France,Food & Refreshment,6.231,10,0.29,4.02,1,0.9999999961245576,Strong Premium
UK,Personal Care,11.6955,3,0.32,10.17,0,7.944310257134292e-16,Standard / Value
Spain,Food & Refreshment,5.859,9,0.3,3.78,1,0.999991198332693,Strong Premium
Germany,Home Care,4.488,2,0.31,4.08,0,3.606109664643038e-19,Standard / Value
Spain,Food & Refreshment,17.5744,7,0.3,13.73,0,0.02042831493799767,Standard / Value
UK,Home Care,10.125,5,0.32,8.1,0,4.153330167035587e-09,Standard / Value
Spain,Personal Care,5.727,2,0.3,4.98,0,3.588953804358928e-19,Standard / Value
France,Food & Refreshment,4.6592,3,0.29,4.16,0,8.196387834161665e-16,Standard / Value
France,Personal Care,15.21,7,0.29,11.7,0,0.02064054220028305,Standard / Value
France,Food & Refreshment,15.68,5,0.29,12.25,0,4.063408413431543e-09,Standard / Value
Germany,Personal Care,2.86,7,0.31,2.2,0,0.02167163282096143,Standard / Value
France,Home Care,8.97,9,0.29,5.98,1,0.9999910959389688,Strong Premium
UK,Home Care,2.94,8,0.32,1.96,1,0.980560926182347,Strong Premium
UK,Personal Care,1.104,2,0.32,0.96,0,3.665653212386152e-19,Standard / Value
Spain,Personal Care,16.3645,2,0.3,14.23,0,3.419495980810873e-19,Standard / Value
UK,Home Care,13.156,2,0.32,11.96,0,3.460760465587952e-19,Standard / Value
Spain,Personal Care,7.0725,2,0.3,6.15,0,3.56706416984435e-19,Standard / Value
Spain,Food & Refreshment,1.2032,4,0.3,0.94,0,1.895753171854472e-12,Standard / Value
Spain,Food & Refreshment,18.6752,5,0.3,14.59,0,4.014244676099583e-09,Standard / Value
France,Personal Care,18.798,6,0.29,14.46,0,9.134559089135629e-06,Standard / Value
Spain,Food & Refreshment,4.352,4,0.3,3.4,0,1.871523961033308e-12,Standard / Value
UK,Personal Care,6.026,3,0.32,5.24,0,8.151766004598113e-16,Standard / Value
France,Home Care,8.6,4,0.29,6.88,0,1.837661104938814e-12,Standard / Value
UK,Personal Care,1.9435,1,0.32,1.69,0,1.605734979699646e-22,Standard / Value
France,Food & Refreshment,14.168,3,0.29,12.65,0,7.840479233652369e-16,Standard / Value
France,Personal Care,10.741,3,0.29,9.34,0,7.977361418685922e-16,Standard / Value
France,Food & Refreshment,1.7825,10,0.29,1.15,1,0.9999999961822823,Strong Premium
Germany,Home Care,16.038,2,0.31,14.58,0,3.413457826465236e-19,Standard / Value
France,Home Care,12.21,8,0.29,8.14,1,0.9799316047215862,Strong Premium
France,Personal Care,7.28,10,0.29,4.55,1,0.9999999961138026,Strong Premium
Spain,Food & Refreshment,9.4976,7,0.3,7.42,0,0.02109912191096642,Standard / Value
